IP,152.206.209.242
Target,152.206.209.242
Country,Cuba
Country_Name,CU
City_Name,Havana
Region,Havana
Time_Zone,America/Havana
Latitude,23.1330
Longitude,-82.3830
ASN,"AS27725 Empresa de Telecomunicaciones de Cuba, S.A."
Google_Maps,"http://www.google.com/maps/place/23.1330,-82.3830/@23.1330,-82.3830,16z"
